Title,Description,Priority,Labels,State
"[S1-MOB-09] Konsolidacja legacy wrapperów komponentów UI","Owner role: Mobile Dev | AC: Legacy deleguje do `components/ui`",3,"sprint1,mobile,tech-debt,p2",Backlog
"[S1-MOB-10] Ustandaryzować spacing/layout templates na 3 głównych ekranach","Owner role: Mobile Dev | AC: Ride/Explore/Profile zgodne z patternem",3,"sprint1,mobile,tech-debt,p2",Backlog
"[S1-BE-01] Zweryfikować auth refresh contract i błędy 401","Owner role: Backend Dev | AC: Kontrakt udokumentowany; mobile flow pass",1,"sprint1,backend,ops,p0",Backlog
"[S1-BE-02] Zweryfikować `sync_path/finalize` pod edge-case offline","Owner role: Backend Dev | AC: Scenariusz kill/relaunch opisany i zatwierdzony",1,"sprint1,backend,ops,p0",Backlog
"[S1-BE-03] Przegląd retry policy i status codes (429/503)","Owner role: Backend Dev | AC: Jasne wytyczne dla mobile retry/backoff",2,"sprint1,backend,ops,p1",Backlog
"[S1-BE-04] Uzgodnić payload dla leaderboard/trends","Owner role: Backend Dev | AC: Brak niejednoznaczności pól w UI",2,"sprint1,backend,tech-debt,p1",Backlog
"[S1-BE-05] Uzupełnić API docs dla wearables auth status","Owner role: Backend Dev | AC: Dokument API odzwierciedla realny flow",3,"sprint1,backend,docs,p2",Backlog
"[S1-QA-01] Smoke auth + ride lifecycle + gps recovery","Owner role: QA Lead | AC: 3 flowy pass i raport w ticketach",1,"sprint1,qa,ops,p0",Backlog
"[S1-QA-02] Manual matrix deep-links (Android+iOS)","Owner role: QA Engineer | AC: Wszystkie krytyczne deeplinki zweryfikowane",1,"sprint1,qa,ops,p0",Backlog
"[S1-QA-03] Dodać smoke dla settings sections","Owner role: QA Engineer | AC: Flow sekcji i persistence pass",2,"sprint1,qa,ops,p1",Backlog
"[S1-QA-04] Dodać smoke dla explore map -> marketplace","Owner role: QA Engineer | AC: Nawigacja i fallback network pass",2,"sprint1,qa,ops,p1",Backlog
"[S1-QA-05] Test regresji `ActivityDetail` po refaktorze","Owner role: QA Engineer | AC: Brak crash/placeholder regression",2,"sprint1,qa,ops,p1",Backlog
"[S1-QA-06] Uzupełnić test notes dla device matrix","Owner role: QA Lead | AC: Minimum 2 Android + 1 iOS opisane",3,"sprint1,qa,ops,p2",Backlog
"[S1-REL-01] Ustawić policy env bez fallback do prod w release","Owner role: Release Eng | AC: Brak ryzyka prod fallback dla release",1,"sprint1,release,ops,p0",Backlog
"[S1-REL-02] Zweryfikować preview build i rollback path","Owner role: Release Eng | AC: Preview build gotowy, rollback opisany",1,"sprint1,release,ops,p0",Backlog
"[S1-REL-03] Potwierdzić telemetry/crash ingestion w preview","Owner role: DevOps | AC: Eventy crash/perf widoczne",2,"sprint1,release,ops,p1",Backlog
"[S1-REL-04] Ujednolicić release checklist EN/PL","Owner role: Release Eng | AC: `MOBILE.md` PL/EN zsynchronizowane",2,"sprint1,release,docs,p1",Backlog
"[S1-DATA-01] Audyt eventów Ride/Auth/Share","Owner role: Data Analyst | AC: Braki eventów udokumentowane i przypisane",2,"sprint1,data,ops,p1",Backlog
"[S1-DATA-02] Potwierdzić metryki perf budget telemetry","Owner role: Data Analyst | AC: violation eventy mapowane i czytelne",2,"sprint1,data,ops,p1",Backlog
"[S1-DATA-03] Dodać rekomendacje retention eventów","Owner role: Data Analyst | AC: Lista eventów P2 do kolejnego sprintu",3,"sprint1,data,tech-debt,p2",Backlog
"[S1-DES-01] Audyt typografii PressStart2P/VT323 na kluczowych ekranach","Owner role: UI Designer | AC: Brak mismatch font family na Ride/Summary",1,"sprint1,design,ops,p0",Backlog
"[S1-DES-02] Usunąć emoji/placeholdery z ekranów detail/profile","Owner role: UI Designer | AC: Spójny chrome icon language",2,"sprint1,design,tech-debt,p1",Backlog
"[S1-DES-03] Spójność kart (padding border shadow)","Owner role: UI Designer | AC: Pattern zatwierdzony na 3 ekranach",2,"sprint1,design,tech-debt,p1",Backlog
"[S1-DES-04] Aktualizacja audytu Grand Prix EN/PL po zmianach","Owner role: Technical Artist | AC: Drift wpisany i status zaktualizowany",3,"sprint1,design,docs,p2",Backlog
"[S1-SEC-01] Audyt token storage i error logging","Owner role: Security Eng | AC: Brak wrażliwych danych w logach",1,"sprint1,security,ops,p0",Backlog
"[S1-SEC-02] Audyt privacy zones flow i fallbacków UI","Owner role: Security Eng | AC: UX nie sugeruje fałszywego success",2,"sprint1,security,ops,p1",Backlog
"[S1-SEC-03] Review konfiguracji env pod secret hygiene","Owner role: Security Eng | AC: Potwierdzony brak sekretów w kliencie",2,"sprint1,security,ops,p1",Backlog
