Summary,Issue Type,Priority,Labels,Description,Owner Role,Initial Status
"[S1-REL-04] Ujednolicić release checklist EN/PL",Task,High,"sprint1,release,docs,p1","AC: `MOBILE.md` PL/EN zsynchronizowane",Release Eng,To Do
"[S1-DATA-01] Audyt eventów Ride/Auth/Share",Task,High,"sprint1,data,ops,p1","AC: Braki eventów udokumentowane i przypisane",Data Analyst,To Do
"[S1-DATA-02] Potwierdzić metryki perf budget telemetry",Task,High,"sprint1,data,ops,p1","AC: violation eventy mapowane i czytelne",Data Analyst,To Do
"[S1-DATA-03] Dodać rekomendacje retention eventów",Task,Medium,"sprint1,data,tech-debt,p2","AC: Lista eventów P2 do kolejnego sprintu",Data Analyst,To Do
"[S1-DES-01] Audyt typografii PressStart2P/VT323 na kluczowych ekranach",Task,Highest,"sprint1,design,ops,p0","AC: Brak mismatch font family na Ride/Summary",UI Designer,To Do
"[S1-DES-02] Usunąć emoji/placeholdery z ekranów detail/profile",Task,High,"sprint1,design,tech-debt,p1","AC: Spójny chrome icon language",UI Designer,To Do
"[S1-DES-03] Spójność kart (padding border shadow)",Task,High,"sprint1,design,tech-debt,p1","AC: Pattern zatwierdzony na 3 ekranach",UI Designer,To Do
"[S1-DES-04] Aktualizacja audytu Grand Prix EN/PL po zmianach",Task,Medium,"sprint1,design,docs,p2","AC: Drift wpisany i status zaktualizowany",Technical Artist,To Do
"[S1-SEC-01] Audyt token storage i error logging",Task,Highest,"sprint1,security,ops,p0","AC: Brak wrażliwych danych w logach",Security Eng,To Do
"[S1-SEC-02] Audyt privacy zones flow i fallbacków UI",Task,High,"sprint1,security,ops,p1","AC: UX nie sugeruje fałszywego success",Security Eng,To Do
"[S1-SEC-03] Review konfiguracji env pod secret hygiene",Task,High,"sprint1,security,ops,p1","AC: Potwierdzony brak sekretów w kliencie",Security Eng,To Do
